"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","226","Ошибка при отсутствии номера","tests","2025-09-27","passed","2025-09-27","TestGetOrderByTrack","test_get_order_by_number","",""
"","497","Создание заказа с разными цветами","tests","2025-09-27","passed","2025-09-27","TestOrderCreation","test_make_order","",""
"","267","Ошибка при принятии заказа: с несуществующим id заказа","tests","2025-09-27","passed","2025-09-27","TestAcceptOrder","test_accept_the_order","",""
"","275","Ошибка при авторизации с несуществующим пользователем","tests","2025-09-27","passed","2025-09-27","TestCourierLogin","test_login_courier","",""
"","933","Успешное получение заказа","tests","2025-09-27","passed","2025-09-27","TestGetOrderByTrack","test_get_order_by_number","",""
"","292","Создать нового курьера","tests","2025-09-27","passed","2025-09-27","TestsCreateNewCourier","test_create_courier","",""
"","492","Создание заказа с разными цветами","tests","2025-09-27","passed","2025-09-27","TestOrderCreation","test_make_order","",""
"","192","Ошибка при принятии заказа: без id заказа","tests","2025-09-27","failed","2025-09-27","TestAcceptOrder","test_accept_the_order","",""
"","1108","Успешное принятие заказа","tests","2025-09-27","passed","2025-09-27","TestAcceptOrder","test_accept_the_order","",""
"","250","Нельзя создать двух одинаковых курьеров","tests","2025-09-27","passed","2025-09-27","TestsCreateNewCourier","test_create_courier","",""
"","5776","Получение списка заказов","tests","2025-09-27","passed","2025-09-27","TestGetOrdersList","test_get_order_list","",""
"","516","Создание заказа с разными цветами","tests","2025-09-27","passed","2025-09-27","TestOrderCreation","test_make_order","",""
"","209","Ошибка при запросе без id","tests","2025-09-27","failed","2025-09-27","TestDeleteCourier","test_delete_courier","",""
"","250","Ошибка при запросе с несуществующим id","tests","2025-09-27","failed","2025-09-27","TestDeleteCourier","test_delete_courier","",""
"","217","Eсли одного из полей нет, запрос возвращает ошибку","tests","2025-09-27","passed","2025-09-27","TestsCreateNewCourier","test_create_courier","",""
"","242","Ошибка при авторизации если нет поля логин","tests","2025-09-27","passed","2025-09-27","TestCourierLogin","test_login_courier","",""
"","1079","Ошибка при принятии заказа: с несуществующим id курьера","tests","2025-09-27","passed","2025-09-27","TestAcceptOrder","test_accept_the_order","",""
"","241","Успешная авторизация курьера","tests","2025-09-27","passed","2025-09-27","TestCourierLogin","test_login_courier","",""
"","292","Ошибка при несуществующем номере","tests","2025-09-27","passed","2025-09-27","TestGetOrderByTrack","test_get_order_by_number","",""
"","551","Создание заказа с разными цветами","tests","2025-09-27","passed","2025-09-27","TestOrderCreation","test_make_order","",""
"","1008","Ошибка при принятии заказа: без id курьера","tests","2025-09-27","passed","2025-09-27","TestAcceptOrder","test_accept_the_order","",""
"","60242","Ошибка при авторизации если нет поля пароль","tests","2025-09-27","skipped","2025-09-27","TestCourierLogin","test_login_courier","",""
"","493","Успешное удаление курьера","tests","2025-09-27","passed","2025-09-27","TestDeleteCourier","test_delete_courier","",""
"","559","Создание заказа с разными цветами","tests","2025-09-27","passed","2025-09-27","TestOrderCreation","test_make_order","",""
